src_id,dst_id,wire_cap_ff,wire_length_um,is_critical
0,18,100.04,474.18,0
0,16,46.35,281.18,0
0,14,9.12,38.74,0
1,3,36.41,186.03,0
1,20,67.29,423.21,0
1,15,41.35,482.55,0
2,15,18.71,221.5,0
2,13,109.21,452.23,0
2,22,57.31,282.91,0
2,1,12.93,143.49,0
2,3,70.89,418.47,0
3,14,10.18,91.7,0
3,2,33.55,380.36,0
3,11,93.07,472.91,0
4,3,69.34,482.37,0
5,15,64.34,342.52,0
5,2,14.4,131.65,0
5,10,31.36,138.48,1
5,18,19.14,224.78,0
5,21,60.62,398.08,1
6,13,62.92,251.85,0
6,1,48.64,319.56,0
6,0,41.84,195.32,0
6,9,15.5,142.55,0
6,2,32.35,147.39,0
7,20,60.66,373.5,0
7,3,82.69,492.16,0
7,1,4.07,17.08,0
7,22,8.27,82.88,0
8,12,8.09,58.77,0
8,7,16.02,100.23,0
8,15,113.22,471.68,0
8,1,5.08,24.55,0
8,5,9.51,83.59,0
9,15,77.6,381.16,0
9,6,33.23,278.21,0
9,4,55.67,264.63,0
9,16,34.25,182.99,0
9,1,7.06,55.0,0
10,2,26.57,230.03,0
11,6,17.87,97.87,0
11,19,73.64,336.17,0
11,5,43.56,257.54,0
11,18,8.84,65.06,0
11,9,37.26,157.81,0
12,22,4.22,19.4,0
13,4,106.71,453.76,0
14,2,22.37,228.04,0
14,16,65.81,304.35,0
15,7,72.27,352.28,0
15,19,47.97,449.88,0
15,10,60.98,263.27,0
16,5,1.73,19.67,1
16,4,49.99,237.59,0
16,2,65.92,308.39,0
16,18,100.22,439.57,0
16,1,7.26,55.17,0
17,13,64.42,264.75,0
18,22,59.04,388.82,0
19,4,75.57,340.63,0
19,11,51.48,480.06,0
19,13,32.07,298.96,0
19,16,59.09,390.19,0
20,7,35.14,193.8,0
20,4,33.19,371.15,0
20,14,19.58,101.31,0
20,16,20.18,138.86,0
21,3,60.73,336.02,0
21,19,53.83,461.66,0
21,10,10.95,124.27,1
22,6,36.18,290.54,0
22,7,2.5,18.37,0
22,8,92.77,436.55,0
22,15,47.39,274.78,0
22,3,77.78,480.49,0
